E-MAIL,PASSWORD
VISA_Meanuser1@nuvelabs.com,VISA@1234$
VISA_Meanuser2@nuvelabs.com,VISA@1234$
VISA_Meanuser3@nuvelabs.com,VISA@1234$
VISA_Meanuser4@nuvelabs.com,VISA@1234$
VISA_Meanuser5@nuvelabs.com,VISA@1234$
VISA_Meanuser6@nuvelabs.com,VISA@1234$
VISA_Meanuser7@nuvelabs.com,VISA@1234$
VISA_Meanuser8@nuvelabs.com,VISA@1234$
VISA_Meanuser9@nuvelabs.com,VISA@1234$
VISA_Meanuser10@nuvelabs.com,VISA@1234$
VISA_Meanuser11@nuvelabs.com,VISA@1234$
VISA_Meanuser12@nuvelabs.com,VISA@1234$
VISA_Meanuser13@nuvelabs.com,VISA@1234$
VISA_Meanuser14@nuvelabs.com,VISA@1234$
VISA_Meanuser15@nuvelabs.com,VISA@1234$
VISA_Meanuser16@nuvelabs.com,VISA@1234$
VISA_Meanuser17@nuvelabs.com,VISA@1234$
VISA_Meanuser18@nuvelabs.com,VISA@1234$
